test_longs,Verilator_real,Verilator_user,Verilator_sys,Verilog_real,Verilog_user,Verilog_sys
100000,0.035,0.019,0.0,0.419,0.152,0.034
100000,0.039,0.02,0.0,0.398,0.153,0.017
100000,0.036,0.012,0.006,0.452,0.173,0.014
100000,0.036,0.019,0.0,0.533,0.183,0.032
100000,0.041,0.019,0.0,0.411,0.155,0.028
100000,0.035,0.019,0.0,0.459,0.159,0.026
100000,0.036,0.018,0.0,0.505,0.208,0.0
100000,0.039,0.02,0.0,0.458,0.123,0.061
100000,0.035,0.019,0.0,0.471,0.165,0.033
100000,0.034,0.018,0.0,0.422,0.168,0.009
